954977983876714525	2018-07-15T02:28:36	2018-07-15T02:28:36Z	1058480271	api-ciudades-seguras-pdn	54.205.116.109	Local3	Info	heroku/router	at=info method=GET path="/api/v1/events/risk-objects" host=api-ciudades-seguras-pdn.herokuapp.com request_id=4e5b65d0-558e-4643-bef1-145b6a4ef047 fwd="54.157.72.96" dyno=web.1 connect=0ms service=94ms status=200 bytes=749 protocol=https 
955159837120532493	2018-07-15T14:31:13	2018-07-15T14:31:13Z	1058480271	api-ciudades-seguras-pdn	54.90.66.83	Syslog	Notice	heroku/web.1	Cycling 
955159837120532494	2018-07-15T14:31:13	2018-07-15T14:31:13Z	1058480271	api-ciudades-seguras-pdn	54.90.66.83	Syslog	Notice	heroku/web.1	State changed from up to starting 
955159839922335884	2018-07-15T14:31:14	2018-07-15T14:31:14Z	1058480271	api-ciudades-seguras-pdn	54.162.161.144	Syslog	Notice	heroku/web.1	Stopping all processes with SIGTERM 
955159842732511291	2018-07-15T14:31:14	2018-07-15T14:31:15Z	1058480271	api-ciudades-seguras-pdn	54.161.94.157	Syslog	Notice	heroku/web.1	Process exited with status 143 
955159868300988448	2018-07-15T14:31:20	2018-07-15T14:31:21Z	1058480271	api-ciudades-seguras-pdn	54.90.205.130	Syslog	Notice	heroku/web.1	Starting process with command `target/universal/stage/bin/ciudades_seguras -Dhttp.port=${PORT} -Dconfig.resource=production.conf` 
955159881869578250	2018-07-15T14:31:23	2018-07-15T14:31:24Z	1058480271	api-ciudades-seguras-pdn	54.211.106.126	Local7	Info	app/web.1	Setting JAVA_TOOL_OPTIONS defaults based on dyno size. Custom settings will override them. 
955159883098509341	2018-07-15T14:31:24	2018-07-15T14:31:24Z	1058480271	api-ciudades-seguras-pdn	54.226.154.19	Local7	Info	app/web.1	Picked up JAVA_TOOL_OPTIONS: -Xmx350m -Xss512k -Dfile.encoding=UTF-8  
955159910495686686	2018-07-15T14:31:30	2018-07-15T14:31:31Z	1058480271	api-ciudades-seguras-pdn	54.159.210.58	Local7	Info	app/web.1	SLF4J: Class path contains multiple SLF4J bindings. 
955159911363907613	2018-07-15T14:31:30	2018-07-15T14:31:31Z	1058480271	api-ciudades-seguras-pdn	54.159.210.58	Local7	Info	app/web.1	SLF4J: Found binding in [jar:file:/app/target/universal/stage/lib/ch.qos.logback.logback-classic-1.1.7.jar!/org/slf4j/impl/StaticLoggerBinder.class] 
955159911363907614	2018-07-15T14:31:30	2018-07-15T14:31:31Z	1058480271	api-ciudades-seguras-pdn	54.159.210.58	Local7	Info	app/web.1	SLF4J: Found binding in [jar:file:/app/target/universal/stage/lib/org.slf4j.slf4j-nop-1.6.4.jar!/org/slf4j/impl/StaticLoggerBinder.class] 
955159911363907615	2018-07-15T14:31:30	2018-07-15T14:31:31Z	1058480271	api-ciudades-seguras-pdn	54.159.210.58	Local7	Info	app/web.1	SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation. 
955159911363907616	2018-07-15T14:31:30	2018-07-15T14:31:31Z	1058480271	api-ciudades-seguras-pdn	54.159.210.58	Local7	Info	app/web.1	SLF4J: Actual binding is of type [ch.qos.logback.classic.util.ContextSelectorStaticBinder] 
955159943601344530	2018-07-15T14:31:38	2018-07-15T14:31:39Z	1058480271	api-ciudades-seguras-pdn	54.205.129.42	Local7	Info	app/web.1	[[33mwarn[0m] s.b.DatabaseConfig - Use `profile` instead of `driver`. The latter is deprecated since Slick 3.2 and will be removed. 
955159979974332451	2018-07-15T14:31:47	2018-07-15T14:31:47Z	1058480271	api-ciudades-seguras-pdn	54.90.205.130	Syslog	Notice	heroku/web.1	State changed from starting to crashed 
955159980112744502	2018-07-15T14:31:47	2018-07-15T14:31:47Z	1058480271	api-ciudades-seguras-pdn	54.90.205.130	Syslog	Notice	heroku/web.1	State changed from crashed to starting 
955159980527980590	2018-07-15T14:31:47	2018-07-15T14:31:47Z	1058480271	api-ciudades-seguras-pdn	54.160.148.196	Syslog	Notice	heroku/web.1	Process exited with status 255 
955160004217417788	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	Oops, cannot start the server. 
955160004217417791	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	java.sql.SQLTransientConnectionException: db - Connection is not available, request timed out after 1083ms. 
955160004217417808	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.zaxxer.hikari.pool.HikariPool.createTimeoutException(HikariPool.java:548) 
955160004217417810	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:186) 
955160004217417812	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:145) 
955160004217417817	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.zaxxer.hikari.HikariDataSource.getConnection(HikariDataSource.java:83) 
955160004217417819	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat slick.jdbc.hikaricp.HikariCPJdbcDataSource.createConnection(HikariCPJdbcDataSource.scala:18) 
955160004217417822	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.slick.evolutions.internal.DBApiAdapter$DatabaseAdapter.getConnection(DBApiAdapter.scala:57) 
955160004217417823	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.slick.evolutions.internal.DBApiAdapter$DatabaseAdapter.getConnection(DBApiAdapter.scala:60) 
955160004217417826	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.evolutions.DatabaseEvolutions.databaseEvolutions(EvolutionsApi.scala:124) 
955160004217417829	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.evolutions.DatabaseEvolutions.scripts(EvolutionsApi.scala:102) 
955160004217417831	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.evolutions.DatabaseEvolutions.scripts(EvolutionsApi.scala:117) 
955160004217417836	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.evolutions.DefaultEvolutionsApi.scripts(EvolutionsApi.scala:82) 
955160004217417839	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.evolutions.ApplicationEvolutions$$anonfun$play$api$db$evolutions$ApplicationEvolutions$$runEvolutions$1.apply$mcV$sp(ApplicationEvolutions.scala:53) 
955160004217417841	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.evolutions.ApplicationEvolutions.withLock(ApplicationEvolutions.scala:99) 
955160004217417843	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.evolutions.ApplicationEvolutions.play$api$db$evolutions$ApplicationEvolutions$$runEvolutions(ApplicationEvolutions.scala:49) 
955160004217417846	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.evolutions.ApplicationEvolutions$$anonfun$start$1.apply(ApplicationEvolutions.scala:42) 
955160004217417848	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.evolutions.ApplicationEvolutions$$anonfun$start$1.apply(ApplicationEvolutions.scala:42) 
955160004217417850	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat scala.collection.immutable.Stream.foreach(Stream.scala:594) 
955160004217417854	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.evolutions.ApplicationEvolutions.start(ApplicationEvolutions.scala:42) 
955160004217417858	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.evolutions.ApplicationEvolutions.<init>(ApplicationEvolutions.scala:150) 
955160004217417865	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.evolutions.ApplicationEvolutionsProvider.get$lzycompute(EvolutionsModule.scala:53) 
955160004217417868	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.evolutions.ApplicationEvolutionsProvider.get(EvolutionsModule.scala:53) 
955160004217417869	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat play.api.db.evolutions.ApplicationEvolutionsProvider.get(EvolutionsModule.scala:44) 
955160004217417872	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.ProviderInternalFactory.provision(ProviderInternalFactory.java:81) 
955160004217417874	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.BoundProviderFactory.provision(BoundProviderFactory.java:72) 
955160004217417875	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.ProviderInternalFactory.circularGet(ProviderInternalFactory.java:61) 
955160004221612032	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.BoundProviderFactory.get(BoundProviderFactory.java:62) 
955160004221612034	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.ProviderToInternalFactoryAdapter$1.call(ProviderToInternalFactoryAdapter.java:46) 
955160004221612035	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.InjectorImpl.callInContext(InjectorImpl.java:1103) 
955160004221612036	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.ProviderToInternalFactoryAdapter.get(ProviderToInternalFactoryAdapter.java:40) 
955160004221612037	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.SingletonScope$1.get(SingletonScope.java:145) 
955160004221612038	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.InternalFactoryToProviderAdapter.get(InternalFactoryToProviderAdapter.java:41) 
955160004221612039	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.InternalInjectorCreator$1.call(InternalInjectorCreator.java:205) 
955160004221612040	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.InternalInjectorCreator$1.call(InternalInjectorCreator.java:199) 
955160004221612041	2018-07-15T14:31:47	2018-07-15T14:31:53Z	1058480271	api-ciudades-seguras-pdn	54.80.56.89	Local7	Info	app/web.1	\tat com.google.inject.internal.InjectorImpl.callInContext(InjectorImpl.java:1092) 
